950.00	0.20
960.00	0.20
970.00	0.18
980.00	0.18
990.00	0.20
1000.00	0.21
1010.00	0.21
1020.00	0.22
1030.00	0.20
1040.00	0.20
1050.00	0.22
1060.00	0.23
1070.00	0.23
1080.00	0.26
1090.00	0.26
1100.00	0.29
1110.00	0.26
1120.00	0.24
1130.00	0.19
1140.00	0.16
1150.00	0.16
1160.00	0.15
1170.00	0.16
1180.00	0.17
1190.00	0.17
1200.00	0.18
1210.00	0.19
1220.00	0.20
1230.00	0.22
1240.00	0.24
1250.00	0.24
1260.00	0.24
1270.00	0.24
1280.00	0.25
1290.00	0.26
1300.00	0.27
1310.00	0.27
1320.00	0.29
1330.00	0.31
1340.00	0.31
1350.00	0.33
1360.00	0.31
1370.00	0.27
1380.00	0.27
1390.00	0.29
1400.00	0.34
1410.00	0.37
1420.00	0.34
1430.00	0.31
1440.00	0.29
1450.00	0.27
1460.00	0.28
1470.00	0.31
1480.00	0.31
1490.00	0.30
1500.00	0.27
1510.00	0.25
1520.00	0.23
1530.00	0.25
1540.00	0.25
1550.00	0.28
1560.00	0.31
1570.00	0.32
1580.00	0.32
1590.00	0.32
1600.00	0.30
1610.00	0.30
1620.00	0.31
1630.00	0.31
1640.00	0.31
1650.00	0.32
1660.00	0.32
1670.00	0.31
1680.00	0.34
1690.00	0.34
1700.00	0.45
1710.00	0.49
1720.00	0.47
1730.00	0.42
1740.00	0.37
1750.00	0.30
1760.00	0.26
1770.00	0.27
1780.00	0.29
1790.00	0.32
1800.00	0.34
1810.00	0.34
1820.00	0.31
1830.00	0.31
1840.00	0.32
1850.00	0.31
1860.00	0.32
1870.00	0.34
1880.00	0.33
1890.00	0.30
1900.00	0.31
1910.00	0.30
1920.00	0.32
1930.00	0.35
1940.00	0.42
1950.00	0.46
1960.00	0.46
1970.00	0.45
1980.00	0.44
1990.00	0.42
2000.00	0.41
2010.00	0.43
2020.00	0.46
2030.00	0.47
2040.00	0.49
2050.00	0.48
2060.00	0.47
2070.00	0.46
2080.00	0.50
2090.00	0.54
2100.00	0.56
2110.00	0.58
2120.00	0.53
2130.00	0.46
2140.00	0.36
2150.00	0.30
